t	v
116.291	-74
116.291	70
116.403	-70
116.403	74
116.49900000000001	-74
116.49900000000001	70
116.563	-70
116.595	74
116.691	-74
116.691	70
116.755	-70
116.787	74
116.883	-74
116.883	70
116.96300000000001	-70
116.995	74
117.108	-74
117.108	70
117.187	-70
117.203	74
117.283	-74
117.315	70
117.379	-70
117.411	74
117.507	-74
117.507	70
117.587	-70
117.619	74
117.699	-74
117.715	70
117.795	-70
117.827	74
117.907	-74
117.93900000000001	70
118.003	-70
118.019	74
118.11500000000001	-74
118.11500000000001	70
118.19500000000001	-70
118.227	74
118.32300000000001	-74
118.32300000000001	70
118.403	-70
118.435	74
118.515	-74
118.531	70
118.611	-70
118.643	74
118.70700000000001	-74
118.739	70
118.819	-70
118.819	74
118.947	-74
119.507	13
119.635	-13
120.508	16384
120.508	-8888
120.509	1005
120.51	8888
122.931	70
123.09100000000001	-70
123.827	74
124.003	-74
125.7	74
125.875	-74
127.428	74
127.635	-74
129.124	70
129.316	-70
130.772	74
131.014	-74
132.308	74
132.51500000000001	-74
133.931	74
134.115	-74
135.475	70
135.683	-70
136.74	74
136.963	-74
137.859	74
138.099	-74
138.867	74
139.091	-74
139.79500000000002	70
140.00300000000001	-70
140.611	74
140.851	-74
141.347	74
141.571	-74
142.035	74
142.227	-74
142.675	70
142.835	-70
143.156	74
143.395	-74
143.667	74
143.907	-74
144.179	74
144.387	-74
144.643	70
144.835	-70
145.07500000000002	74
145.251	-74
145.491	74
145.667	-74
145.891	74
146.067	-74
146.291	70
146.451	-70
146.627	74
146.788	-74
146.948	74
147.107	-74
147.251	74
147.411	-74
147.588	70
147.731	-70
147.859	74
147.988	-74
148.099	74
148.245	-74
148.355	74
148.499	-74
148.596	70
148.691	-70
148.851	74
148.979	-74
149.091	74
149.204	-74
149.332	74
149.476	-74
149.523	70
149.651	-70
149.715	74
149.843	-74
149.923	74
150.036	-74
150.147	74
150.227	-74
150.356	70
150.5	-70
150.5	74
150.611	-74
150.707	74
150.803	-74
150.915	74
150.979	-74
151.155	70
151.284	-70
151.284	74
151.379	-74
151.475	74
151.571	-74
151.667	74
151.748	-74
151.875	70
152.004	-70
152.036	74
152.132	-74
152.243	74
152.30700000000002	-74
152.42000000000002	74
152.51500000000001	-74
152.547	70
152.659	-70
152.77100000000002	74
152.851	-74
152.947	74
153.02700000000002	-74
153.107	74
153.22	-74
153.299	70
153.427	-70
153.53900000000002	74
153.636	-74
153.731	74
153.811	-74
153.907	74
154.02	-74
154.036	70
154.179	-70
154.211	74
154.30700000000002	-74
154.403	74
154.483	-74
154.595	74
154.691	-74
154.77100000000002	70
154.883	-70
154.93200000000002	74
155.02700000000002	-74
155.123	74
155.219	-74
155.299	74
155.427	-74
155.443	70
155.587	-70
155.604	74
155.699	-74
155.79500000000002	74
155.875	-74
155.972	74
156.099	-74
156.131	70
156.211	-70
156.291	74
156.387	-74
156.468	74
156.547	-74
156.643	74
156.772	-74
156.772	70
156.88400000000001	-70
156.964	74
157.044	-74
157.14000000000001	74
157.204	-74
157.3	74
157.411	-74
157.459	70
157.587	-70
157.603	74
157.684	-74
157.796	74
157.892	-74
157.94	70
158.084	-70
158.804	13
158.964	-13
159.805	16384
159.806	-8888
159.806	1006
159.80700000000002	8888
162.068	74
162.244	-74
163.508	70
163.716	-70
164.964	70
165.156	-70
166.356	70
166.516	-70
167.604	74
167.812	-74
168.82	70
169.012	-70
170.006	70
170.196	-70
171.236	70
171.428	-70
172.404	74
172.612	-74
173.54	70
173.716	-70
174.548	70
174.724	-70
175.476	70
175.65200000000002	-70
176.196	74
176.387	-74
176.739	70
176.947	-70
177.315	70
177.507	-70
177.875	70
178.067	-70
178.435	74
178.659	-74
178.995	70
179.155	-70
179.507	70
179.667	-70
179.987	70
180.163	-70
180.403	74
180.579	-74
180.835	70
180.995	-70
181.235	70
181.379	-70
181.619	70
181.79500000000002	-70
181.987	74
182.147	-74
182.355	70
182.499	-70
182.723	70
182.867	-70
183.059	70
183.219	-70
183.427	74
183.603	-74
183.779	70
183.907	-70
184.09900000000002	70
184.243	-70
184.435	70
184.579	-70
184.723	74
184.899	-74
185.02700000000002	70
185.155	-70
185.28300000000002	70
185.395	-70
185.53900000000002	70
185.619	-70
185.715	70
185.79500000000002	-70
185.84300000000002	74
186.019	-74
186.09900000000002	70
186.227	-70
186.339	70
186.419	-70
186.531	70
186.644	-70
186.739	74
186.867	70
186.915	-74
186.995	-70
187.091	70
187.187	-70
187.28300000000002	70
187.379	-70
187.475	70
187.53900000000002	-70
187.58700000000002	74
187.747	-74
187.79500000000002	70
187.907	-70
188.00300000000001	70
188.09900000000002	-70
188.195	70
188.291	-70
188.30700000000002	74
188.467	-74
188.51500000000001	70
188.627	-70
188.723	70
188.835	-70
188.979	74
189.171	-74
189.28300000000002	70
189.411	-70
189.523	70
189.651	-70
189.715	74
189.875	-74
189.955	70
190.067	-70
190.163	70
190.243	-70
190.355	70
190.451	-70
190.499	74
190.643	-74
190.675	70
190.787	-70
190.899	70
190.979	-70
191.07500000000002	70
191.171	-70
191.203	74
191.347	-74
191.347	70
191.427	-70
191.523	74
191.635	-74
191.731	74
191.84300000000002	-74
191.84300000000002	70
191.955	-70
191.971	74
192.05100000000002	70
192.083	-74
192.163	-70
192.179	74
192.275	-74
192.275	70
192.35500000000002	-70
192.403	74
192.483	70
192.499	-74
192.579	-70
192.643	74
192.803	-74
192.803	70
192.899	-70
193.011	70
193.091	-70
193.219	70
193.315	-70
193.363	74
193.507	-74
193.523	70
193.603	-70
193.731	70
193.811	-70
193.84300000000002	74
193.939	-74
193.955	70
194.035	-70
194.163	70
194.243	-70
194.691	13
194.81900000000002	-13
195.693	-8888
195.69400000000002	6000
197.963	1
197.963	8888
198.138	-1
199.156	74
199.267	-74
199.267	82
199.347	-82
200.211	8
200.291	-8
200.387	8
200.483	-8
200.81900000000002	79
200.867	75
200.915	-79
201.011	-75
203.28300000000002	1
203.28300000000002	-8888
203.284	8888
203.458	-1
203.458	-6000
203.46	-8888
