t	v
5.372	1
5.3740000000000006	8888
5.571	-1
5.572	-8888
5.575	6000
10.484	1
10.485	8888
10.659	-1
10.659	-6000
10.659	-8888
10.669	8888
10.67	1000
15.668000000000001	70
15.764000000000001	-70
16.02	70
16.116	-70
16.356	70
16.452	-70
16.692	70
16.804000000000002	-70
17.076	70
17.204	-70
17.492	13
17.508	901
17.684	-13
18.508	-8888
18.51	8888
18.51	1000
19.284	74
19.428	-74
19.604	74
19.748	-74
19.924	74
20.084	-74
20.292	74
20.452	-74
20.527	-901
20.884	74
21.044	-74
21.332	13
21.334	901
21.492	-13
22.335	-8888
22.336000000000002	6000
24.359	-901
24.915	9
24.915	8888
25.091	-9
28.691	13
28.691	-6000
28.692	-8888
28.899	-13
29.694	16384
29.695	1001
29.696	8888
31.715	70
31.875	-70
32.531	70
32.739	-70
33.315	70
33.508	-70
34.115	70
34.307	-70
34.899	70
35.091	-70
35.603	70
35.779	-70
36.307	70
36.499	-70
36.835	70
37.043	-70
37.299	70
37.459	-70
37.731	70
37.891	-70
38.083	70
38.227000000000004	-70
38.435	70
38.563	-70
38.739000000000004	70
38.851	-70
38.995	70
39.107	-70
39.251	70
39.347	-70
39.459	70
39.571	-70
39.683	70
39.763	-70
39.891	70
39.955	-70
40.067	70
40.147	-70
40.243	70
40.323	-70
40.435	70
40.499	-70
40.595	70
40.675000000000004	-70
40.787	70
40.867	-70
40.979	70
41.043	-70
41.172000000000004	70
41.219	-70
41.347	70
41.395	-70
41.507	70
41.571	-70
41.667	70
41.747	-70
41.859	70
41.939	-70
42.051	70
42.115	-70
42.227000000000004	70
42.307	-70
42.419000000000004	70
42.483000000000004	-70
42.611000000000004	70
42.659	-70
42.771	70
42.851	-70
42.963	70
43.027	-70
43.139	70
43.203	-70
43.331	70
43.395	-70
43.507	70
43.571	-70
43.699	70
43.763	-70
43.875	70
43.939	-70
44.051	70
44.115	-70
44.243	70
44.291000000000004	-70
44.435	70
44.499	-70
44.611000000000004	70
44.675000000000004	-70
44.787	70
44.867000000000004	-70
44.979	70
45.043	-70
45.155	70
45.219	-70
45.315	70
45.411	-70
45.715	13
45.955	-13
46.716	16384
46.716	-8888
46.717	1002
46.718	8888
48.451	74
48.675000000000004	-74
49.619	74
49.827	-74
50.852000000000004	74
51.043	-74
51.988	74
52.147	-74
53.059000000000005	74
53.235	-74
54.083	74
54.291000000000004	-74
54.995000000000005	74
55.171	-74
55.699	74
55.875	-74
56.259	74
56.467	-74
56.803000000000004	74
56.995000000000005	-74
57.251	74
57.411	-74
57.587	74
57.763	-74
57.923	74
58.1	-74
58.243	74
58.403	-74
58.547000000000004	74
58.659	-74
58.803000000000004	74
58.9	-74
59.027	74
59.139	-74
59.251000000000005	74
59.331	-74
59.443	74
59.523	-74
59.619	74
59.699	-74
59.811	74
59.875	-74
59.987	74
60.051	-74
60.163000000000004	74
60.227000000000004	-74
60.339	74
60.403	-74
60.516	74
60.579	-74
60.691	74
60.755	-74
60.851	74
60.932	-74
61.043	74
61.107	-74
61.219	74
61.267	-74
61.379	74
61.443	-74
61.539	74
61.603	-74
61.715	74
61.779	-74
61.891	74
61.955	-74
62.068	74
62.132	-74
62.227000000000004	74
62.323	-74
62.419000000000004	74
62.483000000000004	-74
62.579	74
62.659	-74
62.755	74
62.835	-74
62.932	74
63.011	-74
63.123000000000005	74
63.171	-74
63.299	74
63.363	-74
63.475	74
63.539	-74
63.651	74
63.715	-74
63.811	74
63.891	-74
64.003	74
64.06700000000001	-74
64.531	13
64.675	-13
65.533	16384
65.533	-8888
65.534	1003
65.535	8888
67.459	74
67.619	-74
69.059	70
69.267	-70
70.355	74
70.547	-74
71.443	70
71.619	-70
72.532	74
72.739	-74
73.619	70
73.779	-70
74.547	74
74.755	-74
75.491	70
75.635	-70
76.275	74
76.45100000000001	-74
77.108	70
77.267	-70
77.84400000000001	74
78.036	-74
78.435	70
78.595	-70
78.868	74
79.06	-74
79.316	70
79.476	-70
79.652	74
79.86	-74
80.004	70
80.163	-70
80.34	74
80.531	-74
80.724	70
80.867	-70
80.996	74
81.172	-74
81.268	70
81.412	-70
81.604	74
81.795	-74
81.924	70
82.084	-70
82.212	74
82.404	-74
82.5	70
82.611	-70
82.788	74
82.98	-74
83.044	70
83.155	-70
83.268	74
83.47500000000001	-74
83.524	70
83.635	-70
83.684	74
83.876	-74
83.876	70
83.988	-70
84.036	74
84.212	-74
84.212	70
84.35600000000001	-70
84.42	74
84.548	70
84.57900000000001	-74
84.66	-70
84.708	74
84.852	70
84.868	-74
84.964	-70
85.012	74
85.124	70
85.171	-74
85.252	-70
85.3	74
85.46000000000001	-74
85.46000000000001	70
85.54	-70
85.555	74
85.7	-74
85.71600000000001	70
85.796	-70
85.811	74
85.956	-74
85.988	70
86.052	-70
86.06700000000001	74
86.196	70
86.212	-74
86.275	-70
86.34	74
86.436	70
86.467	-74
86.531	-70
86.58	74
86.66	70
86.708	-74
86.756	-70
86.803	74
86.884	70
86.916	-74
86.98	-70
87.012	74
87.092	70
87.124	-74
87.188	-70
87.236	74
87.316	70
87.33200000000001	-74
87.38	-70
87.444	74
87.508	70
87.556	-74
87.571	-70
87.652	74
87.71600000000001	70
87.748	-74
87.779	-70
87.86	74
87.908	70
87.956	-74
87.988	-70
88.068	74
88.132	70
88.18	-74
88.212	-70
88.276	74
88.34	70
88.388	-74
88.419	-70
88.48400000000001	74
88.548	70
88.596	-74
88.627	-70
88.69200000000001	74
88.772	70
88.804	-74
88.836	-70
88.9	74
88.98	70
89.012	-74
89.043	-70
89.108	74
89.188	70
89.203	-74
89.252	-70
89.316	74
89.412	-74
89.412	70
89.46000000000001	-70
89.524	74
89.604	70
89.636	-74
89.669	-70
89.732	74
89.828	70
89.84400000000001	-74
89.898	-70
89.944	74
90.036	70
90.052	-74
90.10000000000001	-70
90.148	74
90.244	70
90.26	-74
90.308	-70
90.35600000000001	74
90.42	70
90.468	-74
90.531	-70
91.268	13
91.444	-13
92.269	16384
92.27	-8888
92.27	1004
92.271	8888
94.852	70
95.012	-70
96.324	74
96.5	-74
97.62	70
97.86	-70
99.012	74
99.22	-74
100.19500000000001	70
100.387	-70
101.267	74
101.47500000000001	-74
102.275	70
102.483	-70
103.139	74
103.315	-74
103.98700000000001	70
104.163	-70
104.787	74
104.979	-74
105.523	70
105.715	-70
106.179	74
106.387	-74
106.819	70
106.979	-70
107.315	74
107.523	-74
107.795	70
107.971	-70
108.19500000000001	74
108.387	-74
108.611	70
108.771	-70
108.96300000000001	74
109.171	-74
109.34700000000001	70
109.507	-70
109.667	74
109.85900000000001	-74
109.955	70
110.131	-70
110.291	74
110.467	-74
110.499	70
110.659	-70
110.771	74
110.96300000000001	-74
110.995	70
111.123	-70
111.171	74
111.331	70
111.34700000000001	-74
111.491	-70
111.491	74
111.667	70
111.683	-74
111.827	-70
111.827	74
111.971	70
111.98700000000001	-74
112.083	-70
112.083	74
112.19500000000001	70
112.227	-74
112.339	-70
112.339	74
112.45100000000001	70
112.483	-74
112.57900000000001	-70
112.57900000000001	74
112.659	70
112.70700000000001	-74
112.803	-70
112.803	74
112.883	70
112.915	-74
113.011	-70
113.011	74
113.107	70
113.123	-74
113.235	-70
113.235	74
113.315	-74
113.331	70
113.427	-70
113.427	74
113.507	-74
113.539	70
113.60300000000001	74
113.635	-70
113.715	-74
113.747	70
113.811	74
113.843	-70
113.923	-74
113.955	70
114.019	74
114.051	-70
114.11500000000001	-74
114.163	70
114.211	74
114.259	-70
114.307	-74
114.37100000000001	70
114.403	74
114.467	-70
114.5	-74
114.611	70
114.613	74
114.70700000000001	-70
114.70700000000001	-74
114.819	70
114.821	74
114.899	-70
114.899	-74
114.995	74
115.027	70
115.09100000000001	-74
115.09100000000001	-70
115.203	74
115.21900000000001	70
115.299	-70
115.315	-74
115.395	74
115.427	70
115.507	-74
115.507	-70
115.60300000000001	74
115.619	70
115.683	-74
115.73100000000001	-70
115.795	74
115.827	70
115.891	-74
115.93900000000001	-70
115.98700000000001	74
116.051	70
116.083	-74
116.147	-70
116.179	74
