t	v
222.098	74
222.116	-70
222.163	-74
222.21	70
222.247	74
222.272	-70
222.32500000000002	-74
222.357	70
222.40800000000002	74
222.449	-70
222.473	-74
222.522	70
222.564	74
222.621	-70
222.626	-74
222.684	70
222.72	74
222.764	-70
222.78300000000002	-74
222.84300000000002	70
222.866	74
222.919	-70
222.941	-74
222.994	70
223.038	74
223.08700000000002	-70
223.08700000000002	-74
223.163	70
223.179	74
223.252	-70
223.267	-74
223.338	70
223.346	74
223.41	-70
223.429	-74
223.494	70
223.502	74
223.57500000000002	-70
223.58700000000002	-74
223.65800000000002	70
223.662	74
223.74200000000002	-74
223.827	74
223.859	-70
223.875	-74
223.921	70
224.002	-70
224.122	13
224.226	-13
225.127	16384
225.129	1004
225.129	8888
226.43200000000002	74
226.59	-74
226.929	70
227.112	-70
227.398	74
227.534	-74
227.904	70
228.067	-70
228.493	74
228.58700000000002	-74
229.113	70
229.24800000000002	-70
229.621	74
229.733	-74
230.142	70
230.297	-70
230.644	74
230.743	-74
231.107	70
231.243	-70
231.516	74
231.63400000000001	-74
231.845	70
231.972	-70
232.149	74
232.275	-74
232.415	70
232.566	-70
232.65200000000002	74
232.785	-74
232.905	70
233.046	-70
233.1	74
233.254	-74
233.329	70
233.478	-70
233.514	74
233.66	-74
233.705	70
233.86100000000002	-70
233.879	74
234.03300000000002	-74
234.066	70
234.214	-70
234.228	74
234.379	-74
234.41	70
234.53300000000002	-70
234.537	74
234.692	-74
234.71800000000002	70
234.839	-70
234.848	74
234.984	-74
235.017	70
235.09900000000002	-70
235.11100000000002	74
235.234	-74
235.26500000000001	70
235.34300000000002	74
235.36	-70
235.442	-74
235.489	70
235.542	74
235.56	-70
235.64600000000002	-74
235.713	70
235.73600000000002	74
235.768	-70
235.818	-74
235.901	70
235.913	74
235.973	-70
235.99200000000002	-74
236.067	70
236.084	74
236.114	-70
236.177	-74
236.247	70
236.276	74
236.30700000000002	-70
236.357	-74
236.39000000000001	70
236.469	74
236.51	-70
236.565	-74
236.622	70
236.653	74
236.703	-70
236.747	-74
236.822	70
236.844	74
236.901	-70
236.922	-74
236.995	70
237.024	74
237.06300000000002	-70
237.119	-74
237.198	70
237.208	74
237.255	-70
237.28900000000002	-74
237.38	70
237.393	74
237.423	-70
237.505	-74
237.516	70
237.607	74
237.62	-70
237.677	-74
237.72400000000002	70
237.786	74
237.829	-70
237.852	-74
237.94400000000002	74
237.958	70
238.005	-70
238.026	-74
238.098	70
238.122	74
238.177	-70
238.205	-74
238.263	70
238.302	74
238.34900000000002	-70
238.352	-74
238.417	70
238.458	74
238.52100000000002	-70
238.64000000000001	70
238.644	-74
238.713	74
238.734	-70
238.786	-74
238.828	70
238.872	74
238.912	-70
238.94	-74
238.976	70
239.031	74
239.07	-70
239.089	-74
239.16400000000002	70
239.18800000000002	74
239.237	-70
239.244	-74
239.31300000000002	70
239.31900000000002	74
239.386	-70
239.463	70
239.516	-70
239.536	-74
239.644	74
239.654	13
239.716	-74
239.739	-13
240.668	16384
240.669	1005
240.669	8888
242.94400000000002	74
243.068	-74
243.531	70
243.716	-70
244.24200000000002	70
244.417	-70
245.00400000000002	70
245.167	-70
245.714	74
245.83	-74
246.411	70
246.549	-70
246.955	70
247.077	-70
247.465	70
247.59900000000002	-70
247.979	74
248.091	-74
248.475	70
248.621	-70
248.86	70
248.984	-70
249.255	70
249.37	-70
249.781	74
249.9	-74
250.25400000000002	70
250.375	-70
250.577	70
250.70000000000002	-70
250.913	70
251.042	-70
251.38	74
251.505	-74
251.76000000000002	70
251.882	-70
252.056	70
252.155	-70
252.284	70
252.388	-70
252.56300000000002	74
252.667	-74
252.851	70
252.964	-70
253.12300000000002	70
253.229	-70
253.33700000000002	70
253.435	-70
253.63	74
253.719	-74
253.924	70
254.052	-70
254.20600000000002	70
254.31	-70
254.393	70
254.497	-70
254.654	74
254.768	-74
254.954	70
255.053	-70
255.163	70
255.258	-70
255.485	74
255.56900000000002	-74
256.527	70
256.647	-70
256.811	70
256.944	-70
257.09000000000003	70
257.204	-70
257.48	74
257.606	-74
257.928	70
258.04	-70
258.195	70
258.318	-70
258.488	70
258.606	-70
258.779	74
258.88100000000003	-74
259.095	70
259.204	-70
259.296	70
259.384	-70
259.467	70
259.577	-70
259.683	74
259.767	-74
260.088	70
260.225	-70
260.308	70
260.394	-70
260.464	70
260.539	-70
260.681	74
260.788	-74
260.936	70
261.028	-70
261.132	70
261.233	-70
261.32	70
261.428	-70
261.558	74
261.654	-74
261.803	70
261.883	-70
262.0	70
262.23	-70
262.366	70
262.433	-70
262.647	74
262.735	-74
262.951	70
263.032	-70
263.145	70
263.209	-70
263.317	70
263.38100000000003	-70
263.558	74
263.665	-74
263.826	70
263.912	-70
264.027	70
264.081	-70
264.175	70
264.248	-70
264.428	74
264.529	-74
264.686	70
